Índice & meanAdelta & meanFidelta & meanAalpha & meanFialpha & meanAtheta & meanFitheta & meanAbeta & meanFibeta & zzclassification \\ \hline
60 & 22.4463 & 17.8398 & 6.007 & 19.5284 & 3.2397 & 18.5192 & 3.2378 & 33.8254 & HVS \\ \hline
61 & 28.996 & 21.814 & 6.4343 & 20.2231 & 3.1339 & 18.113 & 3.3977 & 35.0096 & HVS \\ \hline
62 & 29.8469 & 26.4661 & 7.9174 & 24.0887 & 3.2874 & 18.1336 & 3.1923 & 33.905 & HVS \\ \hline
63 & 18.1769 & 12.6956 & 4.2067 & 13.6582 & 2.3433 & 13.6712 & 2.7916 & 28.4732 & HVS \\ \hline
65 & 25.3997 & 16.4877 & 4.7782 & 15.7149 & 2.9163 & 16.8458 & 3.1887 & 31.7958 & HVS \\ \hline
66 & 19.2534 & 13.6529 & 4.0991 & 13.9768 & 2.9276 & 16.8185 & 3.5436 & 35.6294 & HVS \\ \hline
67 & 27.7836 & 14.8064 & 4.2307 & 13.5579 & 2.5449 & 14.844 & 3.0749 & 30.8906 & HVS \\ \hline
68 & 24.7444 & 20.5792 & 6.2 & 19.8351 & 3.1059 & 17.3962 & 2.1882 & 22.3544 & HVS \\ \hline
70 & 23.434 & 18.6411 & 6.2795 & 20.327 & 2.8308 & 15.9588 & 2.342 & 23.9704 & HVS \\ \hline
71 & 22.795 & 20.5823 & 6.6408 & 21.4349 & 2.9627 & 16.3649 & 2.2779 & 22.9411 & TA \\ \hline
72 & 23.8994 & 17.5503 & 6.175 & 19.7764 & 2.9701 & 16.6144 & 2.1686 & 21.6588 & TA \\ \hline
73 & 25.3838 & 21.0142 & 8.0411 & 25.5617 & 3.5335 & 19.9827 & 2.7236 & 28.323 & HVS \\ \hline
74 & 18.6718 & 15.8154 & 6.746 & 22.4284 & 3.6695 & 20.5689 & 3.1893 & 32.8847 & HVS \\ \hline
75 & 32.5588 & 23.8817 & 8.4912 & 27.14 & 4.1213 & 22.9044 & 3.0583 & 30.4531 & TA \\ \hline
76 & 25.3838 & 21.0142 & 8.0411 & 25.5617 & 3.5335 & 19.9827 & 2.7236 & 28.323 & TA \\ \hline
