kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
5.2384,-0.63767,2.6054,0.028987,-3.6655,0.015502,0.32415,69528.2957,1697.4937,TA,0.17362,18.9538,26544.7962,40.2356,25.8576,-0.0092275,6.0846,1004.0204,7.6913,25.3664,-0.0067274,3.6816,355.4954,4.4223,25.5036,-0.0064777,2.7822,295.3522,3.7225,36.2491,-0.003296,0.74464,23.9012,1.1525,19.0821
5.2384,-0.63767,2.6054,0.028987,-3.6655,0.015502,0.32415,69528.2957,1697.4937,TA,0.17362,18.9538,26544.7962,40.2356,25.8576,-0.0092275,6.0846,1004.0204,7.6913,25.3664,-0.0067274,3.6816,355.4954,4.4223,25.5036,-0.0064777,2.7822,295.3522,3.7225,36.2491,-0.003296,0.74464,23.9012,1.1525,19.0821
3.6853,-1.867,2.4083,0.032303,-5.0982,0.016157,0.35404,61359.3777,1496.072,TA,-0.188,16.3332,34966.6552,37.21,24.1184,0.0081759,6.1229,1362.2259,7.6585,24.8423,0.0049063,3.9161,433.8252,4.6157,26.3416,0.0045582,2.8872,321.8034,3.7417,36.6791,0.0025492,0.74387,25.0935,1.1766,19.3002
3.6137,0.55666,4.0963,0.053726,-1.5969,0.01894,0.35276,31084.2908,758.8239,TA,-0.21634,15.0578,15962.5781,32.1738,21.2997,-0.019708,6.8116,1175.0885,8.2962,25.9748,-0.0066044,3.5852,333.4579,4.1427,23.6449,-0.0031056,2.6481,222.966,3.3528,31.6062,-0.0023373,2.5044,208.6845,3.2683,53.9479
3.6137,0.55666,4.0963,0.053726,-1.5969,0.01894,0.35276,31084.2908,758.8239,TA,-0.21634,15.0578,15962.5781,32.1738,21.2997,-0.019708,6.8116,1175.0885,8.2962,25.9748,-0.0066044,3.5852,333.4579,4.1427,23.6449,-0.0031056,2.6481,222.966,3.3528,31.6062,-0.0023373,2.5044,208.6845,3.2683,53.9479
3.3334,0.020575,3.5195,0.055367,-1.2111,0.016635,-0.00838,25584.3598,624.722,TA,0.29524,12.1343,10725.9751,24.496,17.2824,0.0077783,6.1855,1551.7337,7.5034,24.6688,0.0037944,3.0127,255.1048,3.5752,20.3748,0.0033271,2.1674,175.3467,2.8537,27.0911,0.0019559,2.5134,213.8498,3.2801,54.2646
5.2032,-0.72099,2.39,0.03416,-0.96741,0.016922,0.48122,18544.6792,452.4969,TA,-0.13022,8.2082,7715.4492,24.1289,13.8068,-0.0034923,4.1642,696.5836,5.2911,17.4139,-0.0070359,2.4018,182.7492,2.899,16.6395,-0.0035777,1.6431,106.9861,2.1614,20.9592,-0.0026413,0.40083,7.095,0.62926,10.2202
5.2032,-0.72099,2.39,0.03416,-0.96741,0.016922,0.48122,18544.6792,452.4969,TA,-0.13022,8.2082,7715.4492,24.1289,13.8068,-0.0034923,4.1642,696.5836,5.2911,17.4139,-0.0070359,2.4018,182.7492,2.899,16.6395,-0.0035777,1.6431,106.9861,2.1614,20.9592,-0.0026413,0.40083,7.095,0.62926,10.2202
5.5191,-1.4478,0.91883,0.039129,-2.542,0.018986,0.70816,14586.315,354.8418,TA,-0.31438,8.9312,8992.3953,19.0991,13.3985,-0.0086856,4.3395,629.2999,5.3042,18.0854,0.00032813,2.3157,183.194,2.7114,15.0467,-0.0017295,1.3742,70.0253,1.8024,17.4559,-0.0010408,0.3706,6.2264,0.58515,9.565
5.5191,-1.4478,0.91883,0.039129,-2.542,0.018986,0.70816,14586.315,354.8418,TA,-0.31438,8.9312,8992.3953,19.0991,13.3985,-0.0086856,4.3395,629.2999,5.3042,18.0854,0.00032813,2.3157,183.194,2.7114,15.0467,-0.0017295,1.3742,70.0253,1.8024,17.4559,-0.0010408,0.3706,6.2264,0.58515,9.565
