amplitudeVariation,kurtosis,max,mean,meanAmplitude,meanDerivate_1,meanDerivate_2,meanFrequency,median,medianFrequency,min,rms,skewness,std,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,rmsdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,rmsalpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,rmstheta,meanAtheta,meanFitheta
313.6805,5.2384,156.9241,-0.63767,2.6054,1.0328,-0.061883,0.028987,-3.6655,0.015502,-159.4211,41.2022,0.32415,41.2007,1697.6174,1697.4937,TA,0.17362,2.6054,1697.6174,41.2022,40.2356,25.8576,-0.0092275,2.6054,1697.6174,41.2022,7.6913,25.3664,-0.0067274,2.6054,1697.6174,41.2022,4.4223,25.5036
235.3137,3.6853,140.6789,-1.867,2.4083,-2.6672,0.063347,0.032303,-5.0982,0.016157,-130.9434,38.7209,0.35404,38.6791,1499.3085,1496.072,TA,-0.188,2.4083,1499.3085,38.7209,37.21,24.1184,0.0081759,2.4083,1499.3085,38.7209,7.6585,24.8423,0.0049063,2.4083,1499.3085,38.7209,4.6157,26.3416
177.8308,3.6137,97.6158,0.55666,4.0963,-0.6088,-0.11274,0.053726,-1.5969,0.01894,-95.1701,27.5501,0.35276,27.5468,759.0073,758.8239,TA,-0.21634,4.0963,759.0073,27.5501,32.1738,21.2997,-0.019708,4.0963,759.0073,27.5501,8.2962,25.9748,-0.0066044,4.0963,759.0073,27.5501,4.1427,23.6449
177.8308,3.6137,97.6158,0.55666,4.0963,-0.6088,-0.11274,0.053726,-1.5969,0.01894,-95.1701,27.5501,0.35276,27.5468,759.0073,758.8239,TA,-0.21634,4.0963,759.0073,27.5501,32.1738,21.2997,-0.019708,4.0963,759.0073,27.5501,8.2962,25.9748,-0.0066044,4.0963,759.0073,27.5501,4.1427,23.6449
161.6586,3.3334,79.4927,0.020575,3.5195,-1.5897,0.052084,0.055367,-1.2111,0.016635,-87.818,24.9924,-0.00838,24.9944,624.6183,624.722,TA,0.29524,3.5195,624.6183,24.9924,24.496,17.2824,0.0077783,3.5195,624.6183,24.9924,7.5034,24.6688,0.0037944,3.5195,624.6183,24.9924,3.5752,20.3748
164.3808,5.2032,85.3737,-0.72099,2.39,-0.30114,-0.085717,0.03416,-0.96741,0.016922,-83.0077,21.2824,0.48122,21.272,452.9413,452.4969,TA,-0.13022,2.39,452.9413,21.2824,24.1289,13.8068,-0.0034923,2.39,452.9413,21.2824,5.2911,17.4139,-0.0070359,2.39,452.9413,21.2824,2.899,16.6395
164.3808,5.2032,85.3737,-0.72099,2.39,-0.30114,-0.085717,0.03416,-0.96741,0.016922,-83.0077,21.2824,0.48122,21.272,452.9413,452.4969,TA,-0.13022,2.39,452.9413,21.2824,24.1289,13.8068,-0.0034923,2.39,452.9413,21.2824,5.2911,17.4139,-0.0070359,2.39,452.9413,21.2824,2.899,16.6395
129.7341,5.5191,80.7727,-1.4478,0.91883,-0.51313,0.049683,0.039129,-2.542,0.018986,-74.9737,18.8912,0.70816,18.8372,356.8789,354.8418,TA,-0.31438,0.91883,356.8789,18.8912,19.0991,13.3985,-0.0086856,0.91883,356.8789,18.8912,5.3042,18.0854,0.00032813,0.91883,356.8789,18.8912,2.7114,15.0467
129.7341,5.5191,80.7727,-1.4478,0.91883,-0.51313,0.049683,0.039129,-2.542,0.018986,-74.9737,18.8912,0.70816,18.8372,356.8789,354.8418,TA,-0.31438,0.91883,356.8789,18.8912,19.0991,13.3985,-0.0086856,0.91883,356.8789,18.8912,5.3042,18.0854,0.00032813,0.91883,356.8789,18.8912,2.7114,15.0467
111.9086,4.2189,68.3342,-0.75757,2.076,-0.34882,0.091177,0.046477,-0.84461,0.024192,-50.2822,15.226,0.19637,15.2084,231.8321,231.2968,TA,-0.030965,2.076,231.8321,15.226,13.9867,10.8505,0.0062675,2.076,231.8321,15.226,5.0888,16.8326,0.0028804,2.076,231.8321,15.226,2.4701,14.0247
