,kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
21,5.2032,-0.72099,2.39,0.03416,-0.96741,0.016922,0.48122,18544.6792,452.4969,TA,-0.13022,8.2082,9158.1981,24.1289,13.8068,-0.0034923,4.1642,647.5041,5.2911,17.4139,-0.0070359,2.4018,191.1357,2.899,16.6395,-0.0035777,1.6431,101.5657,2.1614,20.9592,-0.0026413,0.40083,8.7909,0.62926,10.2202
23,5.5191,-1.4478,0.91883,0.039129,-2.542,0.018986,0.70816,14586.315,354.8418,TA,-0.31438,8.9312,8096.038,19.0991,13.3985,-0.0086856,4.3395,628.9593,5.3042,18.0854,0.00032813,2.3157,156.6247,2.7114,15.0467,-0.0017295,1.3742,74.0404,1.8024,17.4559,-0.0010408,0.3706,6.6672,0.58515,9.565
25,4.2189,-0.75757,2.076,0.046477,-0.84461,0.024192,0.19637,9487.2348,231.2968,TA,-0.030965,7.025,5235.4175,13.9867,10.8505,0.0062675,4.2088,604.2906,5.0888,16.8326,0.0028804,2.1286,136.7418,2.4701,14.0247,0.0044902,1.4226,75.9023,1.7996,17.3776,0.002754,0.39441,10.4915,0.62959,10.2673
26,4.7537,-2.5123,-1.0538,0.038804,-3.1752,0.021222,0.1189,12472.5603,300.5557,TA,0.069972,8.2711,7048.8385,17.3434,12.4744,0.0013914,3.6688,418.8983,4.3961,14.1751,-0.00022411,1.9546,90.4298,2.2957,13.1221,-0.00039421,1.5497,82.0205,1.9491,19.7588,-0.00045678,0.69259,20.0884,1.0301,16.2162
28,4.3393,-3.1762,-1.4248,0.039562,-4.3554,0.019358,0.21421,16120.2689,387.2319,TA,-0.24981,10.7863,9748.7971,21.3629,13.5492,0.010231,3.9692,661.4314,4.8373,15.2147,0.0036215,1.9554,116.0683,2.3518,13.3521,0.0038842,1.5279,81.7881,1.9064,19.3048,0.0020247,0.69683,25.9383,1.0428,16.3734
29,4.2445,-1.1677,1.5319,0.040425,-2.3931,0.018645,0.51142,20743.8325,505.6613,TA,0.031388,9.9032,9834.8931,21.2526,15.0064,-0.0063455,5.1147,961.3701,6.2684,20.7661,-0.0036259,2.6987,212.3844,3.1737,17.6391,-0.0048569,1.7091,130.2096,2.2657,22.1603,-0.0028973,0.73869,24.5814,1.0574,17.6432
31,4.8705,-0.14212,0.83186,0.043593,-1.5557,0.020251,0.68137,21277.9011,519.5538,TA,0.45764,14.2237,11992.2643,25.0644,18.9732,-0.017143,5.0407,977.7233,6.469,20.7854,-0.0040002,2.5376,196.1691,3.0336,16.8897,-0.0040041,1.7904,123.8044,2.3768,23.1757,-0.0026278,0.7743,27.3043,1.1314,18.8801
32,5.4502,0.081951,2.898,0.059233,-0.27998,0.029273,0.027588,18182.7488,443.9846,TA,0.35603,14.4632,12393.3369,27.8662,20.4264,0.00084832,5.4268,1127.1276,6.652,21.5711,-0.000545,3.0662,368.8632,3.6632,20.5382,-7.8198e-05,2.2315,198.8137,2.9841,30.3355,-0.00038254,1.0133,40.3971,1.5354,25.3821
33,5.7192,-0.24079,2.3933,0.045354,-0.13887,0.026977,0.37873,21683.2277,529.4272,TA,0.53741,15.1949,14037.153,27.9869,20.3865,0.0085635,4.9308,837.8396,6.2583,20.5746,0.0014646,2.7619,182.5004,3.2597,18.1971,0.0020457,1.8933,124.4328,2.5357,26.3223,0.0010167,0.96514,38.5184,1.457,24.2063
34,3.2276,0.44173,3.3349,0.045388,1.037,0.022231,-0.27746,16977.096,414.4253,TA,0.29056,13.5908,9888.4238,25.4342,17.1765,0.0068126,5.2071,973.7795,6.495,21.1594,0.0019911,2.9122,214.4876,3.4044,19.2085,0.00142,1.6798,103.5928,2.2279,21.9742,0.001082,0.59122,15.4572,0.92434,15.2818
35,3.2718,-1.299,2.0635,0.049701,-0.3521,0.024546,-0.046957,18876.7944,459.8664,TA,0.16669,12.7654,13502.5438,25.4823,18.8829,-0.00021182,5.3118,1049.0388,6.5837,21.3788,0.00061247,2.9331,237.6475,3.5066,19.2173,-0.00040709,1.8634,125.935,2.4048,23.7264,-0.00047038,0.64803,19.2748,1.0138,16.8343
36,3.505,-2.6367,1.8638,0.0423,-2.233,0.030589,-0.087314,40054.1729,973.6411,HVS,-0.3639,20.2648,24776.3007,34.9713,31.747,-0.013427,7.4259,1649.452,9.3176,28.192,-0.0050296,3.3327,239.3266,3.9166,22.1703,-0.0033762,2.2642,164.7107,2.9526,28.8492,-0.0013834,0.70597,18.9897,1.0325,17.0875
38,4.2958,-5.1004,-0.52438,0.030081,-1.565,0.015321,-0.4081,61143.2108,1476.513,HVS,-0.21637,18.1366,25100.0922,33.9213,28.6463,0.024397,8.2528,1652.8488,10.3054,30.1691,0.0054746,3.2425,269.3863,3.9331,21.794,0.006453,1.9218,129.4233,2.5395,24.7336,0.0038338,0.62808,25.5815,0.952,15.754
39,4.3122,0.10971,4.0728,0.042267,-0.00017356,0.023174,0.073747,26758.1614,653.3767,HVS,0.89154,18.8671,14533.9024,40.857,25.5476,-0.013458,6.3886,1246.6849,8.046,24.6546,-0.01086,3.2164,264.2295,3.8453,22.0843,-0.0069885,2.1448,162.3887,2.8514,27.974,-0.0047522,0.64238,23.5458,0.98216,16.1239
